name,stargazerCount,owner,createdAt,updatedAt,language,openPullRequests,mergedPullRequests,releases,openIssues,closedIssues
HowToCook,69147,Anduin2017,2020-02-29T10:43:49Z,2025-02-20T21:04:18Z,Dockerfile,20,518,3,377,300
flask,68857,pallets,2010-04-06T11:11:59Z,2025-02-20T21:23:38Z,Python,7,1590,35,2,2665
node,68564,base,2023-02-01T13:55:02Z,2025-02-20T21:22:59Z,Dockerfile,2,141,43,49,158
system-design-101,68518,ByteByteGoHq,2023-09-18T20:52:03Z,2025-02-20T20:54:22Z,Unknown,9,21,0,35,15
screenshot-to-code,68458,abi,2023-11-14T17:53:32Z,2025-02-20T21:04:44Z,JavaScript,21,45,0,91,274
reveal.js,68382,hakimel,2011-06-07T18:54:22Z,2025-02-20T16:15:50Z,JavaScript,93,405,47,754,1677
hoppscotch,68331,hoppscotch,2019-08-21T13:15:24Z,2025-02-20T21:33:05Z,JavaScript,49,1660,64,506,1284
cs-video-courses,68157,Developer-Y,2016-10-21T17:02:11Z,2025-02-20T21:15:29Z,Unknown,1,163,0,2,143
swift,68140,swiftlang,2015-10-23T21:15:07Z,2025-02-20T22:01:32Z,Emacs Lisp,1028,52304,57,7002,9065
fzf,68091,junegunn,2013-10-23T16:04:23Z,2025-02-20T21:22:35Z,Makefile,58,562,59,240,2641
redis,68048,redis,2009-03-21T22:32:25Z,2025-02-20T22:28:19Z,Makefile,470,3946,78,2079,4546
devops-exercises,67919,bregman-arie,2019-10-03T17:31:21Z,2025-02-20T20:46:19Z,Shell,10,282,0,32,60
ComfyUI,67898,comfyanonymous,2023-01-17T03:15:56Z,2025-02-20T22:36:29Z,Python,101,658,36,1941,2649
syncthing,67764,syncthing,2013-11-26T09:48:21Z,2025-02-20T22:42:47Z,Go,32,2608,396,370,5217
gpt_academic,67604,binary-husky,2023-03-20T09:05:13Z,2025-02-20T16:19:34Z,Python,20,221,32,236,1464
awesome-machine-learning,67000,josephmisiti,2014-07-15T19:11:19Z,2025-02-20T19:21:46Z,Python,1,849,0,0,91
awesome-react,66877,enaqx,2014-08-06T05:31:44Z,2025-02-20T22:42:09Z,Unknown,12,779,0,1,107
protobuf,66653,protocolbuffers,2014-08-26T15:52:15Z,2025-02-20T22:16:41Z,Makefile,66,6799,180,205,6227
grafana,66567,grafana,2013-12-11T15:59:56Z,2025-02-20T21:42:07Z,Shell,326,51038,495,3881,35079
express,66340,expressjs,2009-06-26T18:56:01Z,2025-02-20T21:21:56Z,Makefile,75,410,159,102,3831
Best-websites-a-programmer-should-visit,66038,sdmg15,2017-03-05T20:25:17Z,2025-02-20T21:17:02Z,Unknown,863,428,0,69,101
d2l-zh,65934,d2l-ai,2017-08-23T04:40:24Z,2025-02-20T21:09:05Z,Python,103,1019,16,0,0
cpython,65383,python,2017-02-10T19:23:51Z,2025-02-20T22:43:37Z,Makefile,1808,48387,0,7209,63912
Chart.js,65358,chartjs,2013-03-17T23:56:36Z,2025-02-20T16:48:32Z,JavaScript,23,2983,114,441,6788
strapi,65131,strapi,2015-09-30T15:34:48Z,2025-02-20T22:16:04Z,JavaScript,101,8749,443,883,9592
webpack,65045,webpack,2012-03-10T10:08:14Z,2025-02-20T22:06:49Z,JavaScript,110,4843,421,135,9865
Ventoy,64925,ventoy,2020-03-10T15:19:19Z,2025-02-20T22:13:36Z,C,66,280,100,803,1572
tesseract,64715,tesseract-ocr,2014-08-12T18:04:59Z,2025-02-20T22:35:19Z,C++,27,1402,33,408,2272
uptime-kuma,64677,louislam,2021-07-03T01:02:42Z,2025-02-20T22:44:27Z,HTML,104,1218,109,712,3173
33-js-concepts,64674,leonardomso,2018-09-04T13:27:04Z,2025-02-20T22:31:28Z,JavaScript,62,250,0,21,81
superset,64566,apache,2015-07-21T18:55:34Z,2025-02-20T22:43:16Z,Python,354,13876,219,762,10340
ansible,64093,ansible,2012-03-06T14:58:02Z,2025-02-20T21:40:46Z,Python,303,38718,131,541,32187
interviews,63931,kdn251,2017-02-14T18:19:25Z,2025-02-20T20:18:41Z,Java,81,42,0,30,23
gpt4free,63623,xtekky,2023-03-29T17:00:43Z,2025-02-20T20:22:35Z,Python,1,722,245,59,1540
javascript-questions,63418,lydiahallie,2019-06-12T08:26:27Z,2025-02-20T22:00:37Z,Unknown,26,328,0,12,233
PayloadsAllTheThings,63298,swisskyrepo,2016-10-18T07:29:07Z,2025-02-20T21:29:36Z,PHP,4,539,4,0,0
imgui,63295,ocornut,2014-07-21T14:29:47Z,2025-02-20T21:34:57Z,C,150,382,108,946,5262
the-algorithm,62934,twitter,2023-03-27T14:57:57Z,2025-02-20T19:44:08Z,Starlark,187,2,0,265,723
